data,preco_abertura,preco_fechamento,preco_maximo,preco_medio,preco_minimo,quantidade_negociada,quantidade_negocios,ticker,volume_negociado,fator_ajuste,preco_fechamento_ajustado,fator_ajuste_desdobramentos,preco_fechamento_ajustado_desdobramentos,preco_abertura_ajustado,preco_maximo_ajustado,preco_medio_ajustado,preco_minimo_ajustado,volume,ValorDeMercado,EBIT_EV,momento_6_meses,ebit_dl,volume_medio_prop_20_200,RANK_FINAL_carteira1,ValorDeMercado_RANK_carteira1,EBIT_EV_RANK_carteira1,momento_6_meses_RANK_carteira1,ebit_dl_RANK_carteira1,volume_medio_prop_20_200_RANK_carteira1,posicao_carteira1
2025-08-28,12.24,12.25,12.33,12.26,12.17,25303600,25391,ABEV3,310468614.0,1.0,12.25,1.0,12.25,12.24,12.33,12.26,12.17,310468614.0,192764844970.0,0.12882814835475873,0.1427238805970148,999.0,0.9245840576742544,402.5,154.0,66.0,89.0,11.5,82.0,81.0
2025-08-28,20.75,20.87,20.97,20.89,20.75,161400,983,AGRO3,3372959.0,1.0,20.87,1.0,20.87,20.75,20.97,20.89,20.75,2369218.0,2087554417.0,0.11933927189524257,0.018048780487804894,0.3174145689888212,0.5280487807161933,469.0,52.0,74.0,107.0,86.0,150.0,118.0
2025-08-28,8.05,8.04,8.14,8.05,7.99,117200,335,ALLD3,944454.0,1.0,8.04,1.0,8.04,8.05,8.14,8.05,7.99,991791.0,840167230.0,0.16679761721106748,0.21266968325791846,0.82357186710596,2.842971749683755,173.0,20.0,26.0,75.0,50.0,2.0,6.0
2025-08-28,23.37,23.91,24.33,23.98,23.31,7888100,18014,ALOS3,189188123.0,1.0,23.91,1.0,23.91,23.37,24.33,23.98,23.31,95425756.0,12395249632.0,0.16098833546809932,0.33129175946547873,999.0,1.1462730901119724,230.5,114.0,31.0,43.0,11.5,31.0,14.0
2025-08-28,9.66,9.47,9.97,9.67,9.47,2831400,7519,ALPA4,27398767.0,1.0,9.47,1.0,9.47,9.66,9.97,9.67,9.47,13465158.0,6307210041.0,0.023518049475427735,0.456923076923077,999.0,1.0671248569316587,308.5,89.0,140.0,25.0,11.5,43.0,42.0
2025-08-28,29.5,29.97,30.16,29.85,29.5,1423100,2942,ALUP11,42487782.0,1.0,29.97,1.0,29.97,29.5,30.16,29.85,29.5,24182741.0,10034724707.0,0.1587997803718517,0.13479742521772042,0.311543174622232,1.1596507794163704,345.0,108.0,32.0,91.0,87.0,27.0,52.5
2025-08-28,12.39,12.3,12.5,12.21,12.03,66800,296,AMOB3,815783.0,1.0,12.3,1.0,12.3,12.39,12.5,12.21,12.03,516147.0,43531079539.0,0.00503652314977241,-0.053846153846153766,0.08463409020113839,0.16844533717931592,702.0,142.0,142.0,121.0,140.0,157.0,157.0
2025-08-28,3.24,3.31,3.44,3.36,3.21,10106400,9534,ANIM3,34020794.0,1.0,3.31,1.0,3.31,3.24,3.44,3.36,3.21,19479729.0,1413540818.0,0.14988964835015478,0.7061855670103094,0.22600685534398898,1.0206334384528164,243.0,37.0,41.0,8.0,101.0,56.0,20.0
2025-08-28,3.98,4.0,4.14,4.06,3.95,1199200,2748,ARML3,4875362.0,1.0,4.0,1.0,4.0,3.98,4.14,4.06,3.95,3652539.0,1334002273.0,0.13163301576467862,-0.05660377358490576,0.22374531501215672,0.6499381557386034,460.0,34.0,60.0,122.0,103.0,141.0,113.5
2025-08-28,10.12,10.47,10.6,10.44,10.08,16571700,21163,ASAI3,173022243.0,1.0,10.47,1.0,10.47,10.12,10.6,10.44,10.08,159459972.0,14130960250.0,0.1463212598024467,0.5419734904270987,0.33665568369028004,1.2103279749900293,284.0,118.0,45.0,17.0,83.0,21.0,33.0
